Albergo,Boscolo Hotel Exedra,Cso Matteotti Giacomo, 4/6,5,154
Albergo,Carlton Hotel Baglioni,Via Senato,5,5,93
Albergo,Four Season Hotel Milan,Via Gesu',10,5,118
Albergo,Hotel Pierre Milano,Via De Amicis Edmondo,32,5,47
Albergo,Park Hyatt Milano,Via Grossi Tommaso,1,5,106
Albergo,The Gray,Via San Raffaele,6,5,21
Albergo,Town House Galleria,Via Santa Radegonda,14,5,18
Albergo,Hotel Lloyd,Cso Di Porta Romana,48,4,56
Albergo,Hotel Galileo,Cso Europa,9,4,89
Albergo,Hotel King,Cso Magenta,19,4,48
Albergo,Hotel Ambasciatori,Via Del Corso,3,4,87
Albergo,Jolly Hotel President,Lgo Augusto,10,4,242
Albergo,Grand Hotel Duomo,Pza Del Duomo,25,4,161
Albergo,Grand Hotel Plaza,Pza Diaz Armando,3,4,119
Albergo,Starhotels Rosa Grand,Pza Fontana,3,4,327
Albergo,Hotel Dei Cavalieri,Via Missori Giuseppe,1,4,167
Albergo,Hotel Brunelleschi,Via Baracchini Flavio,12,4,177
Albergo,Hotel Regina,Via Correnti Cesare,13,4,43
Albergo,Hotel De La Ville,Via Hoepli Ulrico,6,4,109
Albergo,Ascot,Via Lentasio,3,4,64
Albergo,Hotel Sir Edward,Via Mazzini Giuseppe,4,4,38
Albergo,Hotel Carrobio,Via Medici,3,4,56
Albergo,Hotel Mentana,Via Morigi,2,4,32
Albergo,Straf,Via San Raffaele,3,4,64
Albergo,Uptown Palace,Via Santa Sofia,10,4,158
Albergo,Manzoni,Via Santo Spirito,20,4,47
Albergo,Spadari Al Duomo,Via Spadari,11,4,40
Residence,Camperio House Hotel  E  Residence,Via Giulini Giorgio,6,4,10
Residence,Residence Di Corso Italia,Cso Italia,34,4,41
Residence,Residence Vip S,Via Pantano,8,4,38
Albergo,Vecchia Milano,Via Borromei,4,3,28
Albergo,Hotel Ariston,Lgo Carrobbio,2,3,52
Albergo,Hotel Zurigio,Cso Italia,11,3,39
Albergo,Rio,Via Mazzini Giuseppe,8,3,42
Albergo,Gran Duca Di York,Via Moneta,1,3,33
Albergo,Hotel Genius Down Town,Via Porlezza,4,3,36
Albergo,Hotel Gritti,Pza Santa Maria Beltrade,4,3,48
Albergo,Hotel Nuovo Biscione,Via Santa Maria Fulcorina,15,3,25
Albergo,Hotel Canada,Via Santa Sofia,16,3,35
Residence,Residence Cerva,Via Cerva,16,3,7
Albergo,Hotel Nuovo,Pza Beccaria Cesare,6,1,15
Albergo,Bulgari Hotels  E  Resorts Milano,Via F.Lli Gabba,7,5,59
Albergo,Grand Hotel Et De Milan,Via Manzoni Alessandro,31,5,95
Albergo,Grand Hotel Et De Milan,Via Manzoni Alessandro,29,5,102
Albergo,Hotel Palazzo Parigi,Cso Porta Nuova,1,5,79
Albergo,Carlyle Brera Hotel,Cso Garibaldi Giuseppe,84,4,98
Albergo,Hotel Bonaparte,Via Cusani,13,4,92
Albergo,Hotel Milano Scala,Via Dell' Orso,7,4,62
Albergo,Hotel Cavour,Via Fatebenefratelli,21,4,121
Albergo,Hotel Manin,Via Manin Daniele,7,4,119
Albergo,,Via San Tomaso,8,4,11
Albergo,Jolly Touring,Via Tarchetti Iginio Ugo,2,4,282
Residence,Residence Borgonuovo,Via Borgonuovo,1,4,16
Residence,Residence Principessa Clotilde,Cso Di Porta Nuova,52,4,216
Albergo,Hotel Centro,Via Broletto,46,3,54
Albergo,Hotel Star,Via Dei Bossi,5,3,30
Albergo,Hotel Ritter,Cso Garibaldi Giuseppe,68,3,89
Albergo,Hotel Giulio Cesare,Via Rovello,10,3,24
Albergo,Antica Locanda Solferino,Via Castelfidardo,2,2,11
Albergo,Hotel London,Via Rovello,3,2,29
Albergo,Style Hotel,Via Mercato,1,1,14
Residence,Residence Bocconi,Via Siracusa, 5/7,4,48
Albergo,Albergo Pavone,Via Dandolo Enrico,2,3,24
Albergo,Atena,Vle Piave,5,2,12
Albergo,Hotel Cinque Giornate,Pza Cinque Giornate,6,2,22
Albergo,Hotel Crivi S,Cso Di Porta Vigentina,46,4,64
Residence,Hotel Romana Residence,Cso Di Porta Romana,64,4,72
Residence,Petit Palais,Via Molino Delle Armi,1,4,17
Albergo,Idea Hotel Milano Corso Genova,Via Conca Del Naviglio,20,3,105
Albergo,Hotel Milano Navigli,Pza Sant' Eustorgio,2,3,22
Albergo,Hotel Ariosto,Via Ariosto Lodovico,22,4,48
Albergo,Antica Locanda Leonardo,Cso Magenta,78,3,16
Albergo,Palazzo Delle Stelline,Cso Magenta,61,3,105
Albergo,Hotel Sant Ambreus,Vle Papiniano,14,3,52
Albergo,Hotel Lancaster,Via Sangiorgio Abbondio,16,3,30
Albergo,Hotel Europeo,Via Canonica Luigi,38,3,45
Residence,Giusti 6,Via Giusti Giuseppe,6,3,72
Albergo,Duca Di Milano,Pza Della Repubblica,13,5,99
Albergo,Hotel Execelsior Gallia,Pza Duca D'Aosta,9,5,243
Albergo,Hotel Principe Di Savoia,Pza Della Repubblica,17,5,302
Albergo,The Westin Palace,Pza Della Repubblica,20,5,228
Albergo,Starhotels Anderson,Pza Luigi Di Savoia,20,4,106
Albergo,Hotel Marconi,Via Filzi Fabio,3,4,67
Albergo,Una Hotel Century,Via Filzi Fabio, 25/B,4,144
Albergo,Hotel Windsor,Via Galilei Galileo,2,4,103
Albergo,Hilton Milan,Via Galvani Luigi,12,4,320
Albergo,Hotel Madison,Via Gasparotto Leopoldo,8,4,97
Albergo,Nh Machiavelli,Via Lazzaretto,5,4,103
Albergo,Colombia,Via Lepetit Roberto,15,4,48
Albergo,Hotel Mediolanum,Via Macchi Mauro,1,4,52
Albergo,R.T.A. Le Gare,Via Macchi Mauro,49,4,22
Albergo,Hotel Baviera,Via Manuzio Aldo,9,4,52
Albergo,Auriga,Via Pirelli Giovanni Battista,7,4,52
Albergo,Andreola,Via Scarlatti Domenico,24,4,78
Albergo,Hotel Bristol,Via Scarlatti Domenico,32,4,68
Albergo,Hotel Michelangelo,Via Scarlatti Domenico,33,4,305
Albergo,Hotel Berna,Via Torriani Napo,18,4,122
Albergo,Hotel Atlantic,Via Torriani Napo,24,4,62
Albergo,Starhotels E.C.H.O.,Vle Doria Andrea,4,4,143
Residence,Residenza Delle Citta,Via Macchi Mauro,79,4,31
Albergo,Hotel Bolzano,Via Boscovich Ruggero,21,3,35
Albergo,Hotel Delle Nazioni,Via Cappellini Alfredo,18,3,81
Albergo,Hotel Club,Via Copernico Nicolo',18,3,53
Albergo,Mini Hotel Aosta,Pza Duca D'Aosta,16,3,63
Albergo,Nuovo Monopole,Via Filzi Fabio,43,3,71
Albergo,Albergo Sempione,Via Finocchiaro Aprile,11,3,49
Albergo,Hotel Ibis Milano Centro,Via Finocchiaro Aprile,2,3,439
Albergo,Florida,Via Lepetit Roberto,33,3,55
Albergo,Hotel New York,Via Pirelli Giovanni Battista,5,3,69
Albergo,Hotel Terminal,Via Ponte Seveso,38,3,47
Albergo,Hotel Soperga,Via Soperga,24,3,78
Albergo,Hotel Mythos,Via Tenca,21,3,52
Albergo,Hotel Albert,Via Tonale,2,3,62
Albergo,Hotel Demo,Via Tonale,14,3,28
Albergo,Dependance Hotel Berna,Via Torriani Napo,17,3,16
Albergo,Flora,Via Torriani Napo,23,3,50
Albergo,Hotel Augustus,Via Torriani Napo,29,3,56
Albergo,Hotel Bernina,Via Torriani Napo,27,3,44
Albergo,Hotel Canova,Via Torriani Napo,15,3,59
Albergo,Hotel Garda,Via Torriani Napo,21,3,56
Albergo,Hotel Mennini,Via Torriani Napo,14,3,62
Albergo,Idea Hotel Milano Centrale,Via Torriani Napo,28,3,71
albergo,Gonzaga,Via Vitruvio,43,3,28
Albergo,Hotel Amadeus,Via Vitruvio,48,3,83
Residence,Tencaresidence,Via Tenca Carlo,11,3,27
Albergo,Hotel Ada,Via Sammartini Giovanni Battista,15,2,18
Albergo,Hotel Casa Mia,Vle Vittorio Veneto,30,2,15
Albergo,Hotel Edolo,Via Edolo,18,2,11
Albergo,Hotel Esco,Via Antonio Da Recanate,2,2,10
Albergo,Hotel Ferton,Via San Gregorio,30,2,34
Albergo,Hotel Stazione,Via Pirelli Giovanni Battista,5,2,10
Albergo,Hotel Virgilio,Via Pl Da Palestrina,30,2,20
Albergo,Arno,Via Lazzaretto,17,1,10
Albergo,Pensione Eva,Via Lazzaretto,17,1,9
Albergo,Hotel Central Station,Via Sammartini Giovanni Battista,15,1,17
Albergo,Hotel Valley,Via Soperga,19,1,11
Albergo,Hotel Verona,Via Tenca Carlo,12,1,19
Albergo,Hotel Italia,Via Vitruvio,44,1,35
Albergo,Hotel Nazionale,Via Vitruvio,46,1,7
Albergo,Crowne Plaza Milan City,Via Gioia Melchiorre,73,4,99
Residence,Residence Pola,Via Pola,4,4,39
Albergo,Idea Hotel Milano Bicocca,Via Della Giustizia,10,4,145
Residence,Viserba Residence,Via Viserba,18,3,47
Albergo,Hotel Convertini,Via San Mamete,12,1,13
Albergo,Ramada Plaza Milano,Via Stamira D'Ancona,27,4,167
Albergo,Hotel Concorde,Vle Monza,132,4,120
Residence,Residence Atahotel Linea Uno,Vle Monza,139,4,89
Albergo,Hotel Agape,Via Flumendosa,35,3,43
Albergo,Hotel Nuovo Metro,Vle Monza,120,3,15
Residence,Residence Casei,Via Cavezzali Francesco,11,3,180
Residence,Residence Loreto,Via Rancati Ilarione,3,3,45
Albergo,Trento,Via Dal Pozzo Toscanelli Paolo,4,1,16
Albergo,Hotel Pasteur,Via Guinizelli Guido,22,3,93
Albergo,Loreto,Via Bambaia,4,2,14
Albergo,Hotel Siro,Via Venini Giulio E Corrado,59,1,10
Albergo,Nu Hotel,Via Feltre,19,4,38
albergo,Hotel Rafael,Via Olgettina,60,3,216
Albergo,Albergo Lombardia,Vle Lombardia,74,3,96
Residence,Pian Della Nave,Via Lambrate,9,3,67
Albergo,Hotel Catalani E Madrid,Via Catalani Alfredo,71,2,20
Albergo,Albergo La Pace,Via Catalani Alfredo,69,1,20
Albergo,Hotel Adelchi Lambrate,Via Ingegnoli Francesco,20,1,16
Albergo,Hotel Ca  Grande,Via Porpora Nicola Antonio,87,1,18
Albergo,Hotel Chopin,Via Porpora Nicola Antonio,143,1,10
Albergo,Chateau Monfort,Cso Concordia,1,5,77
Albergo,Hotel Napoleon,Via Ozanam Federico,12,4,40
Albergo,St. George Hotel,Vle Tunisia,9,4,50
Albergo,Town House 33,Via Goldoni Carlo,33,4,11
Albergo,Cristoforo Colombo,Cso Buenos Aires,3,4,116
Albergo,Grand Hotel Puccini,Cso Buenos Aires,33,4,65
Albergo,Hotel Galles,Pza Lima,2,4,198
Albergo,Albergo Felice Casati,Via Casati Felice,18,4,99
Albergo,Zefiro,Via Gallina Giacinto,12,4,54
Albergo,Hotel Town House 31,Via Goldoni Carlo,31,4,18
Albergo,Hotel Sanpi,Via Palazzi Lazzaro,18,4,79
Albergo,Hotel Del Corso,Via Pecchio Giuseppe,2,4,26
Albergo,Starhotels Ritz,Via Spallanzani Lazzaro,40,4,207
Albergo,Doria Grand Hotel,Vle Doria Andrea,22,4,124
Albergo,Hotel Sheraton Diana Majestic,Vle Piave,42,4,105
Residence,Residence Donatello,Via Donatello,12,4,10
Residence,Residence International,Via Modena Gustavo,4,4,37
Albergo,Hotel Aspromonte,Pza Aspromonte, 12/14,3,19
Albergo,Hotel Florence,Pza Aspromonte,22,3,29
Albergo,Hotel Roxy,Via Bixio Nino,6,3,36
Albergo,Hotel Bagliori,Via Boscovich Ruggero,43,3,14
Albergo,Hotel Serena,Via Boscovich Ruggero,59,3,51
Albergo,Albergo Fenice,Cso Buenos Aires,2,3,46
Albergo,Hotel Buenos Aires,Cso Buenos Aires,26,3,25
Albergo,Hotel City,Gll Buenos Aires,5,3,60
Albergo,Hotel Brianza,Via Castaldi Panfilo,16,3,25
Albergo,Hotel Ideale,Vle Dei Mille,60,3,22
Albergo,Royal,Via Goldoni Carlo,84,3,14
Albergo,Hotel San Francisco,Vle Lombardia,55,3,28
Albergo,Hotel Mercure Milano Centro Porta Venezi,Pza Oberdan Guglielmo,12,3,30
Albergo,Hotel Dore',Via Paganini Niccolo',7,3,18
Albergo,Hotel Demidoff,Via Plinio Caio Secondo,2,3,43
Albergo,Hotel Adler,Via Ricordi Giovanni,10,3,23
Albergo,Hotel Adler,Via Ricordi Giovanni,10,3,23
Albergo,Hotel Cristallo,Via Scarlatti Domenico,22,3,108
Albergo,Eurohotel,Via Sirtori Giuseppe,24,3,60
Albergo,Hotel Teco,Via Spallanzani Lazzaro,27,3,28
Albergo,Hotel Mazzini,Via Vitruvio,29,3,18
Residence,Domus,Vle Abruzzi,67,3,20
Albergo,Astrid,Via Lulli Giovanni,22,2,11
Albergo,Hotel 2000,Via Vitruvio,28,2,14
Albergo,Hotel Charly,Via Settala Lodovico,76,2,20
Albergo,Hotel Due Giardini,Via Marcello Benedetto,47,2,10
Albergo,Hotel Eden,Via Vitruvio,20,2,17
Albergo,Hotel Gran Sasso,Via Lippi Filippino,28,2,22
Albergo,Hotel Medea,Via Goldoni Carlo,84,2,10
Albergo,Hotel Mondial,Via Vitruvio,24,2,17
Albergo,Hotel Nizza,Via Porpora Nicola Antonio,18,2,11
Albergo,Hotel Piola,Via Pestalozza Alessandro,28,2,13
Albergo,Hotel Rallye,Via Marcello Benedetto,59,2,16
Albergo,Hotel Salerno,Via Vitruvio,18,2,19
Albergo,Hotel Siena,Via Castaldi Panfilo,17,2,15
Albergo,Hotel The Best,Via Marcello Benedetto,83,2,28
Albergo,Hotel Trentina,Via Lippi Filippino,50,2,10
Albergo,Sara,Via Sacchini Antonio Gaspare,17,2,18
Albergo,Hotel Tirreno,Pza Aspromonte,18,1,10
Albergo,Hotel Aurora,Cso Buenos Aires,18,1,16
Albergo,Hotel Porta Venezia,Via Castaldi Panfilo,26,1,12
Albergo,Hotel Aladin,Vle Dei Mille,48,1,10
Albergo,Pensione Capri,Vle Dei Mille,24,1,11
Albergo,Calipso,Via Gaffurio Franchino,1,1,19
Albergo,Merano,Via Lazzaretto,10,1,11
Albergo,Hotel Acapulco,Vle Lombardia,59,1,11
Albergo,Hotel Loris,Via Lulli Giovanni,11,1,22
