Albergo,Boscolo Hotel Exedra,Cso Matteotti Giacomo, 4/6,5,154
Albergo,Hotel New Milano,Via Lulli Giovanni,18,1,9
Albergo,Hotel Viola,Via Lulli Giovanni,4,1,9
Albergo,Brasil,Via Modena Gustavo,20,1,17
Albergo,Hotel Paganini,Via Paganini Niccolo',6,1,8
Albergo,Ambrosiana,Via Plinio Caio Secondo,22,1,16
Albergo,Albergo Poerio,Via Poerio Carlo,32,1,13
Albergo,Paola,Via Porpora Nicola Antonio,16,1,10
Albergo,Pensione Oriente,Via Porpora Nicola Antonio,52,1,10
Albergo,Hotel Malta,Via Ricordi Giovanni,20,1,15
Albergo,Villa Mira,Via Sacchini Antonio Gaspare,19,1,10
Albergo,Hotel Da Xin,Via Settala Lodovico,56,1,7
Albergo,Albergo Del Sole,Via Spontini Gaspare,6,1,17
Albergo,Hotel Nettuno,Via Tadino Alessandro,27,1,22
Albergo,Hotel Kennedy,Vle Tunisia,6,1,13
Albergo,Hotel San Tomaso,Vle Tunisia,6,1,12
Albergo,Vallazze,Via Vallazze,14,1,13
Albergo,Hotel Dieci,Lgo Rio De Janeiro,12,4,29
Albergo,Hotel Lugano,Via Astolfo,6,3,21
Albergo,Hotel Vienna,Via Astolfo,5,3,23
Albergo,Sunset City,Via Colombo Giuseppe,14,3,10
Albergo,Oasi Village Hotel,Vle Lombardia,20,3,14
Albergo,Majorca,Via Pellizzone Andrea,12,3,34
Albergo,Hotel Citta  Studi,Via Saldini Cesare,24,3,45
Albergo,Hotel Gamma,Via Valvassori Peroni Carlo,85,3,58
Residence,Residence Bianca Croce,Via Paladini Ettore,7,3,63
Albergo,Albergo Iride,Via Porpora Nicola Antonio,170,2,11
Albergo,Hotel Ambra,Via Caccianino Antonio,10,1,8
Albergo,Leonardo Da Vinci,Pza Leonardo Da Vinci,10,1,13
Albergo,Hotela Alba,Via Porpora Nicola Antonio,132,1,7
Albergo,Hotel Galla,Via Teodosio,37,1,8
Albergo,Hotel Montecarlo,Via Vallazze,39,1,19
Albergo,Albergo Susa,Vle Argonne,14,3,19
Albergo,Hotel Rossovino,Via Bartolozzi Francesco,9,1,7
Albergo,San Giovanni,Via Reina Francesco,18,1,11
Albergo,Hotel Vittoria,Via Calvi Pietro,32,4,40
Albergo,Hotel Perugino,Via Perugino,12,3,32
Residence,Residencemignoncase Tre,Via Melloni Macedonio,17,3,16
Albergo,Arco,Pza Santa Maria Del Suffragio,3,2,17
Albergo,Hotel Castelletto,Via Archimede,79,2,14
Albergo,Hotel Dateo,Vle Piceno,33,2,17
Albergo,Hotel De Albertis,Via De Albertis Sebastiano,7,2,11
Albergo,Hotel Delizia,Via Archimede, 86/88,2,14
Albergo,Hotel Dover,Via Sottocorno Pasquale,8,2,13
Albergo,La Caravella,Via Hajech Camillo,18,2,11
Albergo,Xxii Marzo,Pza Santa Maria Del Suffragio,3,2,15
Albergo,Pensione Lanterna,Via Archimede,121,1,7
Albergo,Hotel America,Cso Ventidue Marzo,32,1,9
Albergo,Hotel El Diablo,Cso Ventidue Marzo,43,1,9
Albergo,Una Hotel Mediterraneo,Via Muratori Lodovico,14,4,93
Albergo,Hotel Di Porta Romana,Via Papi Lazzaro,18,3,36
Residence,Residence L M5,Via Muratori Lodovico,5,3,24
Residence,Residence Sigieri,Via Sigieri Goffredo,3,3,19
Albergo,Mec Hotel,Via Tito Livio,4,3,40
Albergo,Hotel Molise2,Via Cadibona,2,3,30
Albergo,Novotel Milano Linate Aeroporto,Via Mecenate,121,4,208
Residence,Residence Futura,Via Montessori Maria,14,4,56
Albergo,Starhotels Business Palace,Via Gaggia Pietro,3,4,259
Residence,Corvetto Residence Porto Di Mare,Via Osimo Augusto,10,4,64
Albergo,Hotel Mistral,Via Toffetti Vincenzo,4,3,26
Albergo,Hotel Brenta Milano,Vle Brenta,33,2,12
Albergo,Hotel Corvetto,Ple Corvetto Luigi Emanuele,5,1,15
Albergo,Hotel Del Sud,Cso Lodi,74,1,27
Albergo,Hotel D Este,Vle Bligny,23,4,84
Albergo,Hotel Liberty,Vle Bligny,56,4,58
Albergo,"Hotel ""La Vignetta""",Via Custodi Pietro,2,1,31
Albergo,Grand Visconti Palace,Vle Isonzo,14,4,172
Albergo,Hotel Mayor,Vle Isonzo,2,4,60
Albergo,Hotel Five,Cso Lodi,4,3,21
Albergo,Hotel Piacenza,Via Piacenza,4,3,24
Albergo,Hotel Arco Romana,Vle Sabotino,16,2,14
Albergo,Albergo Palladio,Via Palladio Andrea,8,1,48
Albergo,Hotel Rex,Via Marco D'Agrate,35,3,52
Albergo,Hotel Alessander,Via Cortina D'Ampezzo,17,2,13
Residence,,Via Brembo,27,2,55
Albergo,Mihotel,Via Dei Fontanili,26,4,57
Albergo,Apollo,Via Ripamonti Giuseppe,102,2,18
Albergo,Hotel Garden,Via Rutilia,6,2,23
Albergo,Hotel Liguria,Via Ripamonti Giuseppe,134,2,28
Albergo,Atahotel Quark,Via Lampedusa,11,4,328
Residence,Quark Due,Via Lampedusa, 11/A,4,106
Albergo,Hotel Giardino,Via Dei Missaglia,14,3,19
Albergo,Hotel Autosole 2,Via Palmieri Nicola,64,3,23
Albergo,Hotel Dei Fiori,Via Renzo E Lucia,14,3,53
Albergo,Mini Hotel La Spezia,Via Spezia,25,4,76
Residence,Residenza Chiaralba,Via Pomponazzi Pietro,3,3,7
Albergo,Albergo Marte,Via Sforza Ascanio,81,2,15
Albergo,Hotel Mercurio,Via Sforza Ascanio,73,2,15
Albergo,Hotel Alga,Via Del Mare,93,3,87
Albergo,Hotel Maison Borella,Alz Naviglio Grande,8,4,14
Albergo,Art Hotel Navigli,Via Fumagalli Angelo Carlo,4,4,103
Albergo,Hotel Minerva,Cso Colombo Cristoforo,15,3,44
Residence,La Darsena,Via Vigevano,13,3,75
Albergo,Idea Hotel Milano Watttredici,Via Watt Giacomo,13,4,87
Residence,Green House Residence,Vle Famagosta,48,4,54
Albergo,Green House,Vle Famagosta,50,3,45
Albergo,Hotel C� Bianca Corte Del Naviglio,Via Lodovico Il Moro,117,4,51
Residence,Residence Giambellino Di Laura Fiamberti,Via Giambellino,9,2,9
Albergo,Mercure Hotel,Via Orseolo Pietro,1,4,59
Albergo,Hotel Nhow,Via Tortona,35,4,244
Albergo,Hotel Des Etranger S,Via Sirte,9,3,94
Albergo,Idea Hotel Milano Lorenteggio,Via Lorenteggio,278,4,128
Albergo,Hotel Capitol Millennium,Via Cimarosa Domenico,6,4,66
Albergo,Hotel Washington,Via Washington Giorgio,23,4,34
Albergo,Marriot Hotel,Via Washington Giorgio,66,4,323
Residence,Studio Inn Art Milano De Ageli,Via Dei Gracchi,30,4,12
Residence,R.T.A. Atahotel De Angeli,Via Trivulzio Antonio Tolomeo,8,4,68
Albergo,Hotel Panizza,Via Panizza Bartolomeo,5,3,16
Albergo,Hotel Piemonte,Via Settimo Ruggiero,1,3,17
Albergo,Hotel Metro,Cso Vercelli,61,3,40
Residence,Residence Cimarosa,Via Cimarosa Domenico,19,3,23
Albergo,My Hotel Milano,Via Trieste,15,2,10
Albergo,Amalfi,Via Quarnero,4,1,11
Albergo,Ferrari,Cso Vercelli,55,1,14
Albergo,Hotel Calais,Via Washington Giorgio,26,1,12
Albergo,Villa Giovanna,Via Washington Giorgio,42,1,12
Albergo,Hotel Rubens,Via Rubens Pietro,21,4,87
Residence,Residence Desenzano,Via Desenzano,12,3,60
Albergo,Hotel Edy,Via Delle Forze Armate,8,1,12
Albergo,Hotel Emmy,Via Fra' Galgario,4,1,10
Albergo,Hotel Gambara,Via Fra' Galgario,4,1,12
Albergo,Astoria,Vle Murillo S.B.,9,4,72
Residence,Residence Osoppo,Via Frassinetti Romeo,2,4,25
Albergo,Hotel Wagner,Via Buonarroti Michelangelo,13,4,49
Albergo,Hotel Domenichino,Via Domenichino,41,3,73
Albergo,Hotel Nuovo Marghera,Via Marghera,2,3,50
Residence,Residence Colonna,Via Colonna Vittoria,48,3,13
Residence,Residence Portello,Via Ghiberti Lorenzo,1,3,16
Albergo,Le Quercie,Via Jacopo Della Quercia,6,2,14
Albergo,Murillo,Vle Murillo S.B.,22,2,25
Albergo,Pensione Fiorella,Via Marghera,14,2,20
Albergo,Gianni,Via Carcano Filippo,47,1,8
Albergo,Hotel   Leonardo,Via Carcano Filippo,37,1,12
Albergo,Hotel Amendola Fiera,Via Carcano Filippo,39,1,11
Albergo,Hotel San Siro Fiera,Via Novara,371,2,18
Albergo,Hotel Silver,Via Lombardi Riccardo,11,4,75
Albergo,Idea Hotel Milano San Siro,Via Airaghi Gaetano,125,4,234
Albergo,Melia  Milano,Via Masaccio,19,5,288
Albergo,Montebianco,Via Monte Rosa,90,4,44
Albergo,Mini Hotel Portello,Via Silva Guglielmo,12,4,96
Albergo,Hotel Campion,Vle Berengario,3,3,27
Albergo,Hotel Lido,Via Galli Riccardo,8,3,27
Albergo,Hotel Oro Blu,Ple Lotto Lorenzo,14,3,27
Residence,Residence Le Corti,Pza Buonarroti Michelangelo,31,2,23
Albergo,Hotel Fiera Congressi,Via Spinola Ambrogio,9,3,29
Albergo,Hotel Bonola,Via Torrazza,15,2,15
Residence,,Via Ippodromo,8,2,116
Albergo,Hotel Nasco,Cso Sempione,69,4,83
Albergo,Enterprise Hotel,Cso Sempione,91,4,113
Albergo,Hotel Admiral,Via Domodossola,16,4,60
Albergo,Mini Hotel Tiziano,Via Tiziano Vecellio,6,4,54
Albergo,Hotel Scala Nord,Via Ferrucci Francesco,10,3,71
Albergo,Hotel Johnny,Via Prati Giovanni,6,3,31
Albergo,Town House 12,Via Gerusalemme,12,4,15
Albergo,Hotel Mozart,Via Gerusalemme,6,4,119
Albergo,Una Hotel Scandinavia,Via Fauche' Giovanni Battista,15,4,153
Albergo,Hotel Hermitage,Via Messina,10,4,131
Albergo,Hotel Poliziano Fiera,Via Poliziano,11,4,100
Albergo,Hotel San Guido,Via Farini Carlo, 1/A,3,31
Albergo,Hotel Losanna,Via Piero Della Francesca,39,3,24
Albergo,Piccolo Hotel,Via Piero Della Francesca,60,3,31
Albergo,Hotel Parma,Via Piero Della Francesca,48,2,25
Albergo,Locanda Gelsomina,Via Piero Della Francesca, 4/7,2,10
Albergo,Hotel Mignon,Via Saronno,5,1,15
Albergo,Hotel Regency,Via Arimondi Giuseppe,12,4,71
Albergo,Hotel Bogart 2,Via Aosta,2,3,15
Albergo,Hotel Certosa,Vle Certosa,26,3,25
Albergo,Hotel Corallo,Via Cesena,20,3,35
Albergo,Hotel Berlino,Via Plana Giovanni Antonio,33,3,47
Albergo,Hotel Mac Mahon,Via Mac Mahon, 45/A,2,24
Albergo,Mac Mahon,Via Mac Mahon,45,2,24
Albergo,Mary Hotel Fiera,Via Principe Eugenio,45,2,10
Residence,Hotel Residence Cenisio,Via Calvino,21,2,42
Albergo,Hotel Mirage,Via Casella Giovanni Battista,61,4,86
Albergo,Double Tree By Hilton Milan,Via Ludovico Di Breme,77,4,240
Albergo,Milan Suite Hotel,Via Varesina,124,4,40
Albergo,Radisson Blu Hotel Milan,Via Villapizzone,24,4,250
Albergo,Hotel Raffaello,Vle Certosa,108,4,126
Albergo,Hotel Accademia,Vle Certosa,68,4,66
Albergo,Albergo Accursio,Vle Certosa,88,3,27
Albergo,Hotel Bel Sit,Via Gallarate,2,2,17
Residence,Residence 2Gi,Via Ajraghi Cesare,30,2,17
Albergo,Sorrento,Vle Espinasse Carlo,22,1,10
Albergo,Hotel Arizona,Via Bressanone, 4/A,4,80
Albergo,The Hub,Via Polonia,10,4,162
Albergo,,Via Stephenson,55,4,256
Albergo,,Via Venezia Giulia,9,4,115
Albergo,Atahotel Executive,Vle Sturzo Don Luigi,45,4,420
Albergo,Hotel Four Points Sheraton Milan Centre,Via Cardano Gerolamo,1,4,254
Albergo,Una Hotel Tocq,Via Di Tocqueville Alessio,7,4,109
Albergo,Grand Hotel Verdi,Via Gioia Melchiorre,6,4,99
Albergo,Hotel Ac Milano,Via Tazzoli Enrico,2,4,160
Albergo,Hotel Hua Xia Milano,Via Tazzoli Enrico,7,4,23
Albergo,Maison Moschino,Vle Monte Grappa,12,4,65
Residence,Residence Atahotel The Big,Via De Cristoforis Carlo,6,4,125
Albergo,Hotel Cervo,Ple Principessa Clotilde,10,3,57
Albergo,Hotel Trieste,Via Marco Polo,13,2,27
Residence,Residence Bonnet,Via Bonnet Nino,6,2,19
Residence,Class,Via Cornalia Emilio,7,2,26
Albergo,Holiday Inn Milan Garibaldi Station,Via Bassi Ugo,1,4,134
Residence,Casa Albergo Residence Zara Lagosta,Vle Zara,1,4,32
Residence,Mirage Tre,Via Lepontina,8,3,60
Residence,R.T.A. Cola Montano,Via Cola Montano,29,2,21
Albergo,Albergo Lario,Via Lario,40,1,7
Residence,Contessa Jolanda- Attivit� Promiscua 133 Appartamenti (266 Posti Letto) E 9 Camere Albergo Per 18 Posti Letto Per Un Totale Di 284 Posti Letto,Via Murat Gioacchino,21,4,133
Albergo,Hotel Gala,Vle Zara,89,3,22
Albergo,Hotel Greco,Via Ugolini,21,2,8
Albergo,Novotel Milano Nord,Vle Suzzani Giovanni,13,4,172
Residence,Residence Hotel Siloe,Via Cesari Antonio,19,4,83
Albergo,Centro Alberghiero Ornato,Via Ornato Luigi,64,3,144
Albergo,Hotel Ibis Milano Ca  Granda,Vle Suzzani Giovanni, 13/15,3,131
Albergo,Albergo Sicilia,Via Benefattori Dell'Ospedale,24,1,10
Albergo,Starhotels Tourist,Vle Testi Fulvio,300,4,140
Albergo,Sunflower Hotel,Ple Lugano,10,4,75
Albergo,Hotel Valganna,Via Vare' Giovanni Battista,32,3,36
Albergo,Hotel Bovisa,Via Broglio Emilio,28,2,7
Albergo,Hotel Ares,Via Porro Edoardo,8,3,13
Albergo,Hotel Milton Milano,Via Butti Enrico,9,4,110
Albergo,Hotel Brivio,Via Brivio Cesare,33,2,12
Residence,Acca Palace,Via Nicotera Giovanni,9,4,41
Albergo,Hotel La Residenza,Via Scialoia Vittorio,3,3,60
Albergo,Hotel Salus,Via Rossi Pellegrino,59,1,21
Albergo,Leonardo Da Vinci,Via Senigallia,6,4,298
Residence,Il Leonardo Da Vinci,Via Senigallia,6,4,423
